SynId,NeuronType,NeuronId,SynType,UMAP_1,UMAP_2,Cluster,clusterid
1,calbindin,cb1,as,-0.83040905,8.352609,3,as
2,calbindin,cb1,as,-1.1625668,8.33629,3,as
3,calbindin,cb1,as,-1.0975078,8.339774,3,as
6,calbindin,cb1,as,-0.7039546,8.379145,3,as
9,calbindin,cb1,as,-0.4863759,8.493205,3,as
10,calbindin,cb1,as,-0.252747,8.396098,3,as
11,calbindin,cb1,as,-0.32430625,8.432425,3,as
12,calbindin,cb1,as,-1.5386047,8.927289,3,as
14,calbindin,cb1,as,-0.32248986,8.5590315,3,as
15,calbindin,cb1,as,-0.26453018,8.570944,3,as
16,calbindin,cb1,as,-0.5331843,9.543729,3,as
17,calbindin,cb1,as,0.12918441,8.668922,3,as
18,calbindin,cb1,as,0.37496498,8.433764,3,as
19,calbindin,cb1,as,0.026626166,9.453591,3,as
20,calbindin,cb1,as,0.41848052,8.397042,3,as
21,calbindin,cb1,as,0.25586712,9.4979,3,as
22,calbindin,cb1,as,0.82243484,8.900014,3,as
23,calbindin,cb1,as,0.7461051,8.67233,3,as
24,calbindin,cb1,as,1.1699647,9.314449,3,as
25,calbindin,cb1,as,1.3597996,9.367242,3,as
26,calbindin,cb1,as,0.94868106,8.789756,3,as
27,calbindin,cb1,as,1.3705857,9.191267,3,as
28,calbindin,cb1,as,1.7626268,9.544394,3,as
29,calbindin,cb1,as,3.4141467,8.129971,3,as
30,calbindin,cb1,as,3.2344437,8.807221,3,as
31,calbindin,cb1,as,2.9950979,9.964416,3,as
32,calbindin,cb1,as,2.8964071,10.286969,3,as
33,calbindin,cb1,as,3.595887,8.356991,3,as
34,calbindin,cb1,as,2.9735699,10.2855425,3,as
36,calbindin,cb1,as,3.9372003,8.521448,3,as
37,calbindin,cb1,as,4.1020255,9.845877,3,as
38,calbindin,cb1,as,4.337812,8.372978,3,as
39,calbindin,cb1,as,5.92547,10.503792,4,as
40,calbindin,cb1,as,6.0227385,9.634523,4,as
41,calbindin,cb1,as,6.3042336,6.460056,2,as
42,calbindin,cb1,as,7.031171,8.258068,4,as
43,calbindin,cb1,as,7.338466,9.914463,4,as
44,calbindin,cb1,as,7.5308156,8.785822,4,as
45,calbindin,cb1,as,7.535113,7.5392632,-1,as
47,calbindin,cb1,as,8.652224,8.966257,-1,as
48,calbindin,cb1,as,8.755524,8.857145,-1,as
49,calbindin,cb1,as,7.190491,4.995796,2,as
50,calbindin,cb1,as,8.631546,5.2178864,2,as
51,calbindin,cb1,as,9.5540285,5.9322352,2,as
52,calbindin,cb1,as,8.743082,5.2818103,2,as
53,calbindin,cb1,as,11.228427,5.6406026,2,as
54,calbindin,cb1,as,11.358925,4.559529,2,as
55,calbindin,cb1,as,10.292765,4.0798707,2,as
56,calbindin,cb1,as,10.105733,3.9490862,2,as
57,calbindin,cb1,as,10.73226,3.64348,2,as
58,calbindin,cb1,as,11.8725815,2.8106527,2,as
59,calbindin,cb1,as,11.7569685,2.7425213,2,as
60,calbindin,cb1,as,11.811127,2.6583693,2,as
61,calbindin,cb1,as,8.22886,4.244358,2,as
62,calbindin,cb1,as,12.177465,0.16431348,1,as
63,calbindin,cb1,as,12.612806,-0.1960471,1,as
64,calbindin,cb1,as,12.882502,-0.30305657,1,as
65,calbindin,cb1,as,12.438655,-1.0588738,1,as
66,calbindin,cb1,as,12.902127,-0.3593631,1,as
67,calbindin,cb1,as,12.345773,-1.1041038,1,as
68,calbindin,cb1,as,12.627378,-1.1335858,1,as
69,calbindin,cb1,as,12.462799,-1.1798435,1,as
71,calbindin,cb1,as,12.471037,-1.4542098,1,as
72,calbindin,cb1,as,12.648819,-1.3031058,1,as
73,calbindin,cb1,as,13.024624,-0.8823569,1,as
74,calbindin,cb1,as,12.660224,-1.7063576,1,as
75,calbindin,cb1,as,13.070395,-1.4231945,1,as
76,calbindin,cb1,as,12.9856415,-1.9236741,1,as
77,calbindin,cb1,as,12.906772,-1.892441,1,as
78,calbindin,cb1,as,13.570542,-2.1963305,1,as
79,calbindin,cb1,as,13.330354,-2.1846328,1,as
80,calbindin,cb1,as,13.447247,-2.2729528,1,as
81,calbindin,cb1,as,13.969893,-2.4117692,1,as
82,calbindin,cb1,as,14.127432,-2.5285628,1,as
83,calbindin,cb1,as,13.660601,-2.4137762,1,as
84,calbindin,cb1,as,13.597157,-2.4588675,1,as
85,calbindin,cb1,as,13.628288,-2.4852853,1,as
2,calbindin,cb2,as,3.3842604,9.823663,3,as
3,calbindin,cb2,as,3.3432422,9.76217,3,as
4,calbindin,cb2,as,3.874644,9.325493,3,as
5,calbindin,cb2,as,4.00609,9.738183,3,as
6,calbindin,cb2,as,4.4367495,9.946001,3,as
7,calbindin,cb2,as,6.1388974,11.041667,4,as
8,calbindin,cb2,as,3.6930428,8.016629,3,as
9,calbindin,cb2,as,4.5593534,9.839049,3,as
10,calbindin,cb2,as,6.09898,10.975301,4,as
12,calbindin,cb2,as,5.8490357,8.388297,4,as
13,calbindin,cb2,as,7.0126867,10.390035,4,as
14,calbindin,cb2,as,6.2752113,6.2222114,2,as
